Name,Result
K00753.01,CONFIRMED
K00760.01,CONFIRMED
K00777.01,CONFIRMED
K00780.02,FALSE POSITIVE
K00115.03,CONFIRMED
K00797.01,CONFIRMED
K00802.01,CONFIRMED
K00804.01,CONFIRMED
K00810.01,CONFIRMED
K00815.01,CONFIRMED
K00820.01,FALSE POSITIVE
K00841.03,CONFIRMED
K00868.01,CONFIRMED
K00856.01,CONFIRMED
K00858.01,CONFIRMED
K00865.01,CONFIRMED
K00871.01,CONFIRMED
K00875.01,CONFIRMED
K00892.02,CONFIRMED
K00883.01,CONFIRMED
K00901.01,CONFIRMED
K00902.01,CONFIRMED
K00900.01,CONFIRMED
K00914.01,CONFIRMED
K00928.01,CONFIRMED
K00924.01,CONFIRMED
K00935.04,CONFIRMED
K01103.01,CONFIRMED
K01169.01,CONFIRMED
K01170.01,CONFIRMED
K01175.02,CONFIRMED
K00974.01,CONFIRMED
K01051.01,CONFIRMED
K00151.01,CONFIRMED
K00134.01,CONFIRMED
K01112.01,CONFIRMED
K00984.01,CONFIRMED
K01118.01,CONFIRMED
K01193.01,CONFIRMED
K01194.02,CONFIRMED
K01201.01,CONFIRMED
K00989.03,CONFIRMED
K01191.01,CONFIRMED
K00994.01,CONFIRMED
K01066.01,CONFIRMED
K01127.03,CONFIRMED
K00141.01,CONFIRMED
K01145.01,CONFIRMED
K00945.01,CONFIRMED
K00945.02,CONFIRMED
K01081.01,CONFIRMED
K01082.01,CONFIRMED
K01082.02,CONFIRMED
K00950.01,CONFIRMED
K01085.01,CONFIRMED
K01154.01,FALSE POSITIVE
K01089.02,CONFIRMED
K01159.01,CONFIRMED
K01029.01,CONFIRMED
K01030.01,CONFIRMED
K01095.01,CONFIRMED
K00958.01,CONFIRMED
K01165.01,CONFIRMED
K01166.01,CONFIRMED
K01360.03,CONFIRMED
K01362.01,CONFIRMED
K01426.03,FALSE POSITIVE
K01429.01,CONFIRMED
K01239.01,CONFIRMED
K01239.02,CONFIRMED
K01431.01,CONFIRMED
K01242.01,CONFIRMED
K01246.01,CONFIRMED
K01251.01,CONFIRMED
K01311.01,CONFIRMED
K01315.01,CONFIRMED
K01369.01,CONFIRMED
K01437.01,CONFIRMED
K01258.03,CONFIRMED
K01261.02,CONFIRMED
K01268.01,CONFIRMED
K01328.01,CONFIRMED
K01331.01,CONFIRMED
K01271.01,CONFIRMED
K01393.01,CONFIRMED
K01455.01,CONFIRMED
K01276.01,CONFIRMED
K01276.02,CONFIRMED
K01336.04,CONFIRMED
K01395.01,CONFIRMED
K01397.01,CONFIRMED
K01338.02,CONFIRMED
K01338.03,CONFIRMED
K01398.01,CONFIRMED
K01399.01,CONFIRMED
K01281.01,CONFIRMED
K01408.01,CONFIRMED
K01225.01,CONFIRMED
K01357.01,CONFIRMED
K01358.01,CONFIRMED
K01420.01,CONFIRMED
K01358.02,CONFIRMED
K01358.03,CONFIRMED
K01358.04,CONFIRMED
K01359.01,CONFIRMED
K01359.02,CONFIRMED
K01303.01,CONFIRMED
K01602.01,CONFIRMED
K01715.01,CONFIRMED
K01489.01,CONFIRMED
K01720.01,CONFIRMED
K01494.01,CONFIRMED
K01560.01,CONFIRMED
K01498.02,CONFIRMED
K01499.02,CONFIRMED
K01499.03,FALSE POSITIVE
K01563.03,CONFIRMED
K01619.01,CONFIRMED
